date,age_group,total_hospitalised,total_icu
2021-08-20,50 to 59,31,4
2021-08-20,60 to 69,26,4
2021-08-20,70 to 79,18,4
2021-08-20,80 to 89,8,0
2021-08-20,90+,4,0
2021-08-20,Total,140,19
2021-08-21,0 to 9,1,0
2021-08-21,10 to 19,4,1
2021-08-21,20 to 29,8,1
2021-08-21,30 to 39,19,2
2021-08-21,40 to 49,21,3
2021-08-21,50 to 59,31,4
2021-08-21,60 to 69,26,4
2021-08-21,70 to 79,18,4
2021-08-21,80 to 89,8,0
2021-08-21,90+,4,0
2021-08-21,Total,140,19
2021-08-22,0 to 9,1,0
2021-08-22,10 to 19,4,1
2021-08-22,20 to 29,8,1
2021-08-22,30 to 39,19,2
2021-08-22,40 to 49,21,3
2021-08-22,50 to 59,33,4
2021-08-22,60 to 69,26,4
2021-08-22,70 to 79,18,4
2021-08-22,80 to 89,8,0
2021-08-22,90+,4,0
2021-08-22,Total,142,19
2021-08-23,0 to 9,1,0
2021-08-23,10 to 19,4,1
2021-08-23,20 to 29,8,1
2021-08-23,30 to 39,19,2
2021-08-23,40 to 49,21,3
2021-08-23,50 to 59,34,4
2021-08-23,60 to 69,26,4
2021-08-23,70 to 79,19,4
2021-08-23,80 to 89,8,0
2021-08-23,90+,4,0
2021-08-23,Total,144,19
2021-08-24,0 to 9,1,0
2021-08-24,10 to 19,4,1
2021-08-24,20 to 29,8,1
2021-08-24,30 to 39,20,2
2021-08-24,40 to 49,21,3
2021-08-24,50 to 59,34,4
2021-08-24,60 to 69,26,4
2021-08-24,70 to 79,19,4
2021-08-24,80 to 89,8,0
2021-08-24,90+,4,0
2021-08-24,Total,145,19
2021-08-25,0 to 9,2,0
2021-08-25,10 to 19,4,1
2021-08-25,20 to 29,8,1
2021-08-25,30 to 39,20,2
2021-08-25,40 to 49,22,3
2021-08-25,50 to 59,34,4
2021-08-25,60 to 69,26,4
2021-08-25,70 to 79,20,4
2021-08-25,80 to 89,8,0
2021-08-25,90+,4,0
2021-08-25,Total,148,19
2021-08-26,0 to 9,2,0
2021-08-26,10 to 19,5,1
2021-08-26,20 to 29,8,1
2021-08-26,30 to 39,20,2
2021-08-26,40 to 49,22,3
2021-08-26,50 to 59,34,4
2021-08-26,60 to 69,26,4
2021-08-26,70 to 79,20,4
2021-08-26,80 to 89,8,0
2021-08-26,90+,4,0
2021-08-26,Total,149,19
2021-08-28,0 to 9,2,0
2021-08-28,10 to 19,6,1
2021-08-28,20 to 29,10,1
2021-08-28,30 to 39,21,2
2021-08-28,40 to 49,22,3
2021-08-28,50 to 59,35,4
2021-08-28,60 to 69,28,4
2021-08-28,70 to 79,21,4
2021-08-28,80 to 89,8,0
2021-08-28,90+,4,0
2021-08-28,Total,157,19
2021-08-29,0 to 9,2,0
2021-08-29,10 to 19,6,1
2021-08-29,20 to 29,11,1
2021-08-29,30 to 39,21,2
2021-08-29,40 to 49,22,3
2021-08-29,50 to 59,36,4
