date,sex,total_cases,total_cases_hospitalised
2022-02-25,Male,32003,509
2022-02-25,Unknown,137,0
2022-02-25,Total,66016,1104
2022-02-26,Female,41652,627
2022-02-26,Male,39171,529
2022-02-26,Unknown,158,1
2022-02-26,Total,80981,1157
2022-02-27,Female,49153,660
2022-02-27,Male,46314,558
2022-02-27,Unknown,184,1
2022-02-27,Total,95651,1219
2022-02-28,Female,58185,692
2022-02-28,Male,55246,581
2022-02-28,Unknown,219,1
2022-02-28,Total,113650,1274
2022-03-01,Female,70605,723
2022-03-01,Male,66879,598
2022-03-01,Unknown,262,1
2022-03-01,Total,137746,1322
2022-03-02,Female,82533,785
2022-03-02,Male,78086,641
2022-03-02,Unknown,298,1
2022-03-02,Total,160917,1427
2022-03-03,Female,94292,832
2022-03-03,Male,88875,693
2022-03-03,Unknown,331,1
2022-03-03,Total,183498,1526
2022-03-04,Female,104196,896
2022-03-04,Male,97823,741
2022-03-04,Unknown,356,1
2022-03-04,Total,202375,1638
2022-03-05,Female,112316,951
2022-03-05,Male,104882,775
2022-03-05,Unknown,378,1
2022-03-05,Total,217576,1727
2022-03-06,Female,121439,999
2022-03-06,Male,113277,815
2022-03-06,Unknown,401,1
2022-03-06,Total,235117,1815
2022-03-07,Female,133658,1051
2022-03-07,Male,124961,841
2022-03-07,Unknown,418,1
2022-03-07,Total,259037,1893
2022-03-08,Female,145450,1124
2022-03-08,Male,135625,890
2022-03-08,Unknown,445,1
2022-03-08,Total,281520,2015
2022-03-10,Female,167573,1275
2022-03-10,Male,155542,1006
2022-03-10,Unknown,454,1
2022-03-10,Total,323569,2282
2022-03-11,Female,177546,1374
2022-03-11,Male,164272,1069
2022-03-11,Unknown,473,1
2022-03-11,Total,342294,2444
2022-03-12,Female,185251,1441
2022-03-12,Male,171058,1119
2022-03-12,Unknown,493,1
2022-03-12,Total,356805,2561
2022-03-13,Female,193585,1466
2022-03-13,Male,178269,1144
2022-03-13,Unknown,505,1
2022-03-13,Total,372362,2611
2022-03-14,Female,204754,1549
2022-03-14,Male,188722,1208
2022-03-14,Unknown,526,1
2022-03-14,Total,394002,2758
2022-03-16,Female,225463,1711
2022-03-16,Male,207065,1335
2022-03-16,Unknown,541,2
2022-03-16,Total,433073,3048
2022-03-17,Female,232952,1760
2022-03-17,Male,213742,1376
2022-03-17,Unknown,548,2
2022-03-17,Total,447246,3138
2022-03-18,Female,242786,1862
2022-03-18,Male,222397,1460
2022-03-18,Unknown,570,3
2022-03-18,Total,465757,3325
2022-03-19,Female,249353,1920
2022-03-19,Male,227791,1506
2022-03-19,Unknown,580,3
2022-03-19,Total,477728,3429
2022-03-20,Female,257036,1959
2022-03-20,Male,234579,1547
2022-03-20,Unknown,587,3
2022-03-20,Total,492206,3509
2022-03-21,Female,267834,2029
2022-03-21,Male,244681,1635
2022-03-21,Unknown,607,3
2022-03-21,Total,513126,3667
2022-03-22,Female,278528,2130
2022-03-22,Male,254086,1715
2022-03-22,Unknown,620,3
2022-03-22,Total,533238,3848
2022-03-23,Female,288354,2247
2022-03-23,Male,262697,1803
2022-03-23,Unknown,630,3
2022-03-23,Total,551685,4053
2022-03-24,Female,296854,2357
2022-03-24,Male,270058,1879
2022-03-24,Unknown,652,3
2022-03-24,Total,567568,4239
2022-03-25,Female,304371,2449
2022-03-25,Male,276718,1932
2022-03-25,Unknown,662,3
2022-03-25,Total,581755,4384
2022-03-26,Female,310017,2492
2022-03-26,Male,281309,1969
2022-03-26,Unknown,668,3
2022-03-26,Total,591998,4464
2022-03-27,Female,316984,2547
2022-03-27,Male,287221,2014
2022-03-27,Unknown,677,3
2022-03-27,Total,604886,4564
2022-03-28,Female,326927,2615
2022-03-28,Male,296360,2065
