date,age_group,active,recovered,deceased,total
2022-02-25,Unknown,0,0,0,0
2022-02-25,Total,53119,17947,56,71122
2022-02-26,0 to 9,6168,2961,1,9130
2022-02-26,10 to 19,16032,2778,0,18810
2022-02-26,20 to 29,18438,3800,0,22238
2022-02-26,30 to 39,11801,3386,2,15189
2022-02-26,40 to 49,7445,2167,5,9617
2022-02-26,50 to 59,4810,1732,9,6551
2022-02-26,60 to 69,2157,864,8,3029
2022-02-26,70 to 79,813,322,11,1146
2022-02-26,80 to 89,260,89,12,361
2022-02-26,90+,44,15,8,67
2022-02-26,Unknown,0,0,0,0
2022-02-26,Total,67968,18114,56,86138
2022-02-27,0 to 9,7504,2997,1,10502
2022-02-27,10 to 19,19470,2814,0,22284
2022-02-27,20 to 29,22008,3844,0,25852
2022-02-27,30 to 39,14414,3430,2,17846
2022-02-27,40 to 49,9231,2190,5,11426
2022-02-27,50 to 59,5817,1756,9,7582
2022-02-27,60 to 69,2653,871,8,3532
2022-02-27,70 to 79,973,325,11,1309
2022-02-27,80 to 89,306,90,12,408
2022-02-27,90+,57,15,8,80
2022-02-27,Unknown,0,0,0,0
2022-02-27,Total,82433,18332,56,100821
2022-02-28,0 to 9,9152,3038,1,12191
2022-02-28,10 to 19,23418,2868,0,26286
2022-02-28,20 to 29,26321,3910,0,30231
2022-02-28,30 to 39,17530,3474,2,21006
2022-02-28,40 to 49,11474,2228,5,13707
2022-02-28,50 to 59,7339,1776,9,9124
2022-02-28,60 to 69,3314,881,8,4203
2022-02-28,70 to 79,1162,333,11,1506
2022-02-28,80 to 89,370,90,12,472
2022-02-28,90+,63,15,8,86
2022-02-28,Unknown,0,0,0,0
2022-02-28,Total,100143,18613,56,118812
2022-03-01,0 to 9,11550,3059,1,14610
2022-03-01,10 to 19,28356,2890,0,31246
2022-03-01,20 to 29,32546,3938,0,36484
2022-03-01,30 to 39,21828,3495,2,25325
2022-03-01,40 to 49,14319,2241,5,16565
2022-03-01,50 to 59,9216,1791,9,11016
2022-03-01,60 to 69,4248,890,8,5146
2022-03-01,70 to 79,1480,337,11,1828
2022-03-01,80 to 89,482,92,12,586
2022-03-01,90+,88,15,8,111
2022-03-01,Unknown,1,0,0,1
2022-03-01,Total,124114,18748,56,142918
2022-03-02,0 to 9,13588,3134,1,16723
2022-03-02,10 to 19,32878,2963,0,35841
2022-03-02,20 to 29,38613,4056,0,42669
2022-03-02,30 to 39,25949,3590,2,29541
2022-03-02,40 to 49,17136,2319,5,19460
2022-03-02,50 to 59,11085,1838,9,12932
2022-03-02,60 to 69,5091,912,8,6011
2022-03-02,70 to 79,1781,343,11,2135
2022-03-02,80 to 89,552,93,12,657
2022-03-02,90+,105,15,8,128
2022-03-02,Unknown,1,0,0,1
2022-03-02,Total,146779,19263,56,166098
2022-03-03,0 to 9,13956,5028,1,18985
2022-03-03,10 to 19,33422,6752,0,40174
2022-03-03,20 to 29,39915,8407,0,48322
2022-03-03,30 to 39,27242,6503,2,33747
2022-03-03,40 to 49,18178,4104,7,22289
2022-03-03,50 to 59,11710,3090,9,14809
2022-03-03,60 to 69,5457,1494,8,6959
2022-03-03,70 to 79,1918,557,12,2487
2022-03-03,80 to 89,579,167,15,761
2022-03-03,90+,101,36,9,146
2022-03-03,Unknown,1,0,0,1
2022-03-03,Total,152479,36138,63,188680
2022-03-04,0 to 9,15603,5350,1,20954
2022-03-04,10 to 19,35924,7790,0,43714
2022-03-04,20 to 29,43397,9291,0,52688
2022-03-04,30 to 39,30282,6953,2,37237
2022-03-04,40 to 49,20428,4449,7,24884
2022-03-04,50 to 59,13159,3317,9,16485
2022-03-04,60 to 69,6174,1606,8,7788
2022-03-04,70 to 79,2164,602,12,2778
2022-03-04,80 to 89,667,185,15,867
2022-03-04,90+,120,37,9,166
2022-03-04,Unknown,1,0,0,1
2022-03-04,Total,167919,39580,63,207562
2022-03-05,0 to 9,17058,5688,1,22747
2022-03-05,10 to 19,37872,8793,0,46665
2022-03-05,20 to 29,45846,10180,0,56026
2022-03-05,30 to 39,32426,7550,2,39978
2022-03-05,40 to 49,22110,4799,7,26916
2022-03-05,50 to 59,14265,3546,9,17820
2022-03-05,60 to 69,6700,1725,8,8433
2022-03-05,70 to 79,2398,645,12,3055
2022-03-05,80 to 89,730,201,17,948
2022-03-05,90+,130,39,9,178
2022-03-05,Unknown,1,0,0,1
2022-03-05,Total,179536,43166,65,222767
2022-03-06,0 to 9,18509,6058,1,24568
2022-03-06,10 to 19,40217,9986,0,50203
2022-03-06,20 to 29,48288,11509,0,59797
2022-03-06,30 to 39,35057,8212,2,43271
2022-03-06,40 to 49,24056,5225,7,29288
2022-03-06,50 to 59,15569,3849,9,19427
2022-03-06,60 to 69,7346,1847,8,9201
2022-03-06,70 to 79,2637,700,12,3349
2022-03-06,80 to 89,786,219,17,1022
2022-03-06,90+,141,41,9,191
2022-03-06,Unknown,2,0,0,2
2022-03-06,Total,192608,47646,65,240319
2022-03-07,0 to 9,19147,7848,1,26996
2022-03-07,10 to 19,39480,15350,0,54830
2022-03-07,20 to 29,46612,18416,0,65028
2022-03-07,30 to 39,35170,12592,2,47764
2022-03-07,40 to 49,24527,8011,7,32545
2022-03-07,50 to 59,16103,5532,9,21644
2022-03-07,60 to 69,7792,2563,8,10363
2022-03-07,70 to 79,2757,954,12,3723
2022-03-07,80 to 89,834,297,17,1148
2022-03-07,90+,155,48,9,212
2022-03-07,Unknown,2,0,0,2
2022-03-07,Total,192579,71611,65,264255
2022-03-08,0 to 9,20251,9057,1,29309
2022-03-08,10 to 19,40529,18562,0,59091
2022-03-08,20 to 29,48523,21589,0,70112
2022-03-08,30 to 39,37076,14816,2,51894
2022-03-08,40 to 49,26283,9446,7,35736
2022-03-08,50 to 59,17124,6460,9,23593
2022-03-08,60 to 69,8452,2980,8,11440
2022-03-08,70 to 79,2941,1124,12,4077
2022-03-08,80 to 89,908,338,17,1263
2022-03-08,90+,168,56,9,233
2022-03-08,Unknown,2,0,0,2
2022-03-08,Total,202257,84428,65,286750
2022-03-10,0 to 9,21632,12200,1,33833
2022-03-10,10 to 19,40498,26306,0,66804
2022-03-10,20 to 29,48627,30268,0,78895
2022-03-10,30 to 39,38632,21036,2,59670
2022-03-10,40 to 49,28127,13722,8,41857
2022-03-10,50 to 59,18444,9128,8,27580
2022-03-10,60 to 69,9273,4203,10,13486
2022-03-10,70 to 79,3349,1492,19,4860
2022-03-10,80 to 89,1080,452,26,1558
2022-03-10,90+,204,76,12,292
2022-03-10,Unknown,1,0,0,1
2022-03-10,Total,209867,118883,86,328836
2022-03-11,0 to 9,21984,14482,1,36467
2022-03-11,10 to 19,39415,30943,0,70358
2022-03-11,20 to 29,46441,35867,0,82308
2022-03-11,30 to 39,37927,24988,2,62917
2022-03-11,40 to 49,28116,16369,8,44493
2022-03-11,50 to 59,18428,10909,9,29346
2022-03-11,60 to 69,9340,5073,10,14423
2022-03-11,70 to 79,3440,1794,21,5255
2022-03-11,80 to 89,1112,552,28,1692
2022-03-11,90+,201,101,14,316
2022-03-11,Unknown,1,0,0,1
2022-03-11,Total,206405,141078,93,347576
2022-03-12,0 to 9,21808,16618,1,38427
2022-03-12,10 to 19,37511,35602,0,73113
2022-03-12,20 to 29,42773,42185,0,84958
2022-03-12,30 to 39,36105,29291,2,65398
2022-03-12,40 to 49,27278,19294,8,46580
2022-03-12,50 to 59,17881,12845,9,30735
2022-03-12,60 to 69,9203,5942,13,15158
2022-03-12,70 to 79,3461,2105,22,5588
2022-03-12,80 to 89,1154,623,29,1806
2022-03-12,90+,212,116,17,345
2022-03-12,Unknown,1,0,0,1
2022-03-12,Total,197387,164621,101,362109
2022-03-13,0 to 9,21651,18848,1,40500
2022-03-13,10 to 19,36195,39919,0,76114
2022-03-13,20 to 29,39893,47842,0,87735
2022-03-13,30 to 39,34723,33493,2,68218
2022-03-13,40 to 49,26732,22112,8,48852
2022-03-13,50 to 59,17456,14721,9,32186
2022-03-13,60 to 69,9060,6886,13,15959
2022-03-13,70 to 79,3396,2445,22,5863
2022-03-13,80 to 89,1145,720,30,1895
2022-03-13,90+,215,130,17,362
2022-03-13,Unknown,1,0,0,1
2022-03-13,Total,190467,187116,102,377685
2022-03-14,0 to 9,22574,20804,1,43379
2022-03-14,10 to 19,36850,43459,0,80309
2022-03-14,20 to 29,39392,52214,0,91606
2022-03-14,30 to 39,35128,36978,2,72108
2022-03-14,40 to 49,27215,24701,8,51924
2022-03-14,50 to 59,17800,16398,9,34207
2022-03-14,60 to 69,9352,7711,13,17076
2022-03-14,70 to 79,3528,2738,22,6288
2022-03-14,80 to 89,1195,825,30,2050
2022-03-14,90+,230,147,17,394
2022-03-14,Unknown,1,0,0,1
2022-03-14,Total,193265,205975,102,399342
2022-03-16,0 to 9,23974,24354,1,48329
2022-03-16,10 to 19,37655,49907,0,87562
2022-03-16,20 to 29,39733,59289,0,99022
2022-03-16,30 to 39,36245,42979,3,79227
2022-03-16,40 to 49,28539,29080,9,57628
2022-03-16,50 to 59,18452,19329,11,37792
2022-03-16,60 to 69,9930,9116,16,19062
2022-03-16,70 to 79,3710,3304,28,7042
2022-03-16,80 to 89,1332,972,41,2345
2022-03-16,90+,276,165,26,467
2022-03-16,Unknown,1,0,0,1
2022-03-16,Total,199847,238495,135,438477
2022-03-17,0 to 9,16329,33832,1,50162
2022-03-17,10 to 19,23301,66796,0,90097
2022-03-17,20 to 29,22526,78881,0,101407
2022-03-17,30 to 39,22054,59661,3,81718
2022-03-17,40 to 49,17951,41847,9,59807
2022-03-17,50 to 59,11670,27562,11,39243
2022-03-17,60 to 69,6382,13466,16,19864
2022-03-17,70 to 79,2511,4832,29,7372
2022-03-17,80 to 89,935,1519,43,2497
2022-03-17,90+,208,268,26,502
2022-03-17,Unknown,0,1,0,1
2022-03-17,Total,123867,328665,138,452670
2022-03-18,0 to 9,16694,36466,1,53161
2022-03-18,10 to 19,23038,70354,0,93392
2022-03-18,20 to 29,22191,82302,0,104493
2022-03-18,30 to 39,22078,62913,3,84994
2022-03-18,40 to 49,17957,44481,9,62447
2022-03-18,50 to 59,11680,29330,11,41021
2022-03-18,60 to 69,6343,14404,17,20764
2022-03-18,70 to 79,2531,5226,29,7786
2022-03-18,80 to 89,936,1649,46,2631
2022-03-18,90+,217,290,28,535
2022-03-18,Unknown,0,1,0,1
2022-03-18,Total,123665,347416,144,471225
2022-03-19,0 to 9,16611,38424,1,55036
2022-03-19,10 to 19,22524,73107,0,95631
2022-03-19,20 to 29,21464,84952,0,106416
2022-03-19,30 to 39,21715,65393,3,87111
2022-03-19,40 to 49,17657,46565,9,64231
2022-03-19,50 to 59,11438,30720,13,42171
2022-03-19,60 to 69,6176,15143,17,21336
2022-03-19,70 to 79,2427,5557,31,8015
2022-03-19,80 to 89,906,1758,48,2712
2022-03-19,90+,216,317,29,562
2022-03-19,Unknown,0,1,0,1
2022-03-19,Total,121134,361937,151,483222
2022-03-20,0 to 9,16661,40497,1,57159
2022-03-20,10 to 19,22297,76107,0,98404
2022-03-20,20 to 29,21144,87727,1,108872
2022-03-20,30 to 39,21496,68217,3,89716
2022-03-20,40 to 49,17553,48837,9,66399
2022-03-20,50 to 59,11265,32170,13,43448
2022-03-20,60 to 69,6051,15946,18,22015
2022-03-20,70 to 79,2456,5831,32,8319
2022-03-20,80 to 89,915,1845,53,2813
2022-03-20,90+,221,331,33,585
2022-03-20,Unknown,0,1,0,1
2022-03-20,Total,120059,377509,163,497731
2022-03-21,0 to 9,16986,43377,1,60364
2022-03-21,10 to 19,22095,80305,0,102400
2022-03-21,20 to 29,20809,91600,1,112410
2022-03-21,30 to 39,21285,72108,3,93396
2022-03-21,40 to 49,17570,51908,9,69487
2022-03-21,50 to 59,11112,34191,14,45317
2022-03-21,60 to 69,5887,17058,22,22967
2022-03-21,70 to 79,2471,6255,37,8763
2022-03-21,80 to 89,905,1996,57,2958
2022-03-21,90+,226,363,33,622
2022-03-21,Unknown,0,1,0,1
2022-03-21,Total,119346,399162,177,518685
2022-03-22,0 to 9,17301,45946,1,63248
2022-03-22,10 to 19,22096,83964,0,106060
2022-03-22,20 to 29,20698,95309,1,116008
2022-03-22,30 to 39,21473,75567,4,97044
2022-03-22,40 to 49,17643,54744,9,72396
2022-03-22,50 to 59,11177,35946,14,47137
2022-03-22,60 to 69,5885,18042,23,23950
2022-03-22,70 to 79,2547,6610,38,9195
2022-03-22,80 to 89,927,2140,59,3126
2022-03-22,90+,242,397,35,674
2022-03-22,Unknown,0,1,0,1
2022-03-22,Total,119989,418666,184,538839
2022-03-23,0 to 9,17371,48324,1,65696
2022-03-23,10 to 19,21657,87558,0,109215
2022-03-23,20 to 29,20410,99014,1,119425
2022-03-23,30 to 39,21293,79219,4,100516
2022-03-23,40 to 49,17512,57612,9,75133
2022-03-23,50 to 59,11074,37772,15,48861
2022-03-23,60 to 69,5821,19043,23,24887
2022-03-23,70 to 79,2561,7003,39,9603
2022-03-23,80 to 89,926,2289,62,3277
2022-03-23,90+,244,434,38,716
2022-03-23,Unknown,0,1,0,1
2022-03-23,Total,118869,438269,192,557330
2022-03-24,0 to 9,17653,50369,1,68023
2022-03-24,10 to 19,22014,90023,0,112037
2022-03-24,20 to 29,20701,101411,1,122113
2022-03-24,30 to 39,21556,81715,5,103276
2022-03-24,40 to 49,17895,59722,9,77626
2022-03-24,50 to 59,11142,39190,15,50347
2022-03-24,60 to 69,5910,19787,25,25722
2022-03-24,70 to 79,2586,7312,42,9940
2022-03-24,80 to 89,926,2423,64,3413
2022-03-24,90+,242,465,39,746
2022-03-24,Unknown,0,1,0,1
2022-03-24,Total,120625,452418,201,573244
2022-03-25,0 to 9,17431,52779,1,70211
2022-03-25,10 to 19,21633,92877,0,114510
2022-03-25,20 to 29,20388,104009,1,124398
2022-03-25,30 to 39,21182,84509,5,105696
2022-03-25,40 to 49,17706,62106,10,79822
2022-03-25,50 to 59,10914,40781,16,51711
2022-03-25,60 to 69,5830,20623,28,26481
2022-03-25,70 to 79,2565,7685,46,10296
2022-03-25,80 to 89,944,2550,69,3563
2022-03-25,90+,244,493,41,778
2022-03-25,Unknown,0,1,0,1
2022-03-25,Total,118837,468413,217,587467
2022-03-26,0 to 9,16716,55035,1,71752
2022-03-26,10 to 19,20720,95631,0,116351
2022-03-26,20 to 29,19580,106411,1,125992
2022-03-26,30 to 39,20376,87106,5,107487
2022-03-26,40 to 49,17092,64221,10,81323
2022-03-26,50 to 59,10603,42151,16,52770
2022-03-26,60 to 69,5725,21310,29,27064
2022-03-26,70 to 79,2527,7972,46,10545
2022-03-26,80 to 89,941,2649,72,3662
2022-03-26,90+,231,524,43,798
2022-03-26,Unknown,0,1,0,1
2022-03-26,Total,114511,483011,223,597745
2022-03-27,0 to 9,16677,57154,1,73832
2022-03-27,10 to 19,20313,98400,0,118713
2022-03-27,20 to 29,19105,108860,1,127966
2022-03-27,30 to 39,20119,89705,5,109829
2022-03-27,40 to 49,16875,66383,10,83268
2022-03-27,50 to 59,10532,43428,16,53976
2022-03-27,60 to 69,5740,21988,29,27757
2022-03-27,70 to 79,2465,8272,50,10787
2022-03-27,80 to 89,920,2744,74,3738
2022-03-27,90+,230,545,45,820
2022-03-27,Unknown,0,1,0,1
2022-03-27,Total,112976,497480,231,610687
2022-03-28,0 to 9,16308,60357,1,76666
2022-03-28,10 to 19,19401,102398,0,121799
2022-03-28,20 to 29,18303,112401,1,130705
2022-03-28,30 to 39,19410,93386,6,112802
2022-03-28,40 to 49,16286,69473,10,85769
2022-03-28,50 to 59,10263,45295,17,55575
2022-03-28,60 to 69,5709,22936,33,28678
2022-03-28,70 to 79,2385,8707,58,11150
2022-03-28,80 to 89,928,2883,81,3892
2022-03-28,90+,234,568,59,861
2022-03-28,Unknown,0,1,0,1
2022-03-28,Total,109227,518405,266,627898
2022-03-29,0 to 9,15722,63240,1,78963
2022-03-29,10 to 19,18518,106057,0,124575
2022-03-29,20 to 29,17488,115998,1,133487
2022-03-29,30 to 39,18629,97031,6,115666
2022-03-29,40 to 49,15734,72380,10,88124
2022-03-29,50 to 59,9946,47116,17,57079
2022-03-29,60 to 69,5601,23918,33,29552
2022-03-29,70 to 79,2304,9136,62,11502
2022-03-29,80 to 89,899,3043,86,4028
2022-03-29,90+,224,612,62,898
2022-03-29,Unknown,0,1,0,1
2022-03-29,Total,105065,538532,278,643875
2022-03-30,0 to 9,15346,65690,1,81037
2022-03-30,10 to 19,17834,109208,0,127042
2022-03-30,20 to 29,16702,119416,1,136119
2022-03-30,30 to 39,17985,100502,6,118493
2022-03-30,40 to 49,15375,75118,10,90503
2022-03-30,50 to 59,9703,48840,19,58562
2022-03-30,60 to 69,5530,24851,37,30418
2022-03-30,70 to 79,2261,9538,65,11864
2022-03-30,80 to 89,920,3186,91,4197
2022-03-30,90+,219,651,69,939
2022-03-30,Unknown,0,1,0,1
2022-03-30,Total,101875,557001,299,659175
2022-03-31,0 to 9,15031,68020,1,83052
2022-03-31,10 to 19,17189,112031,0,129220
2022-03-31,20 to 29,16196,122104,1,138301
2022-03-31,30 to 39,17673,103266,6,120945
2022-03-31,40 to 49,14948,77611,10,92569
2022-03-31,50 to 59,9568,50326,20,59914
2022-03-31,60 to 69,5455,25681,40,31176
2022-03-31,70 to 79,2271,9871,71,12213
2022-03-31,80 to 89,931,3321,93,4345
2022-03-31,90+,224,680,72,976
2022-03-31,Unknown,0,1,0,1
2022-03-31,Total,99486,572912,314,672712
2022-04-02,0 to 9,14323,71953,1,86277
2022-04-02,10 to 19,16344,116396,0,132740
2022-04-02,20 to 29,15247,126066,1,141314
2022-04-02,30 to 39,16953,107540,8,124501
2022-04-02,40 to 49,14284,81386,10,95680
2022-04-02,50 to 59,9265,52694,22,61981
2022-04-02,60 to 69,5290,27023,44,32357
2022-04-02,70 to 79,2242,10453,81,12776
2022-04-02,80 to 89,898,3557,106,4561
2022-04-02,90+,232,722,77,1031
2022-04-02,Unknown,0,1,0,1
2022-04-02,Total,95078,597791,350,693219
2022-04-03,0 to 9,13940,73913,1,87854
2022-04-03,10 to 19,15777,118686,0,134463
2022-04-03,20 to 29,14946,127957,1,142904
2022-04-03,30 to 39,16479,109832,8,126319
2022-04-03,40 to 49,14016,83238,10,97264
2022-04-03,50 to 59,9071,53923,23,63017
2022-04-03,60 to 69,5226,27691,46,32963
2022-04-03,70 to 79,2204,10702,83,12989
2022-04-03,80 to 89,900,3629,109,4638
2022-04-03,90+,230,743,82,1055
2022-04-03,Unknown,0,1,0,1
2022-04-03,Total,92789,610315,363,703467
2022-04-04,0 to 9,13378,76662,1,90041
2022-04-04,10 to 19,15154,121795,0,136949
2022-04-04,20 to 29,14327,130695,1,145023
2022-04-04,30 to 39,16029,112792,8,128829
2022-04-04,40 to 49,13578,85751,11,99340
2022-04-04,50 to 59,8868,55552,23,64443
2022-04-04,60 to 69,5139,28628,51,33818
2022-04-04,70 to 79,2202,11066,85,13353
2022-04-04,80 to 89,869,3782,117,4768
2022-04-04,90+,216,780,89,1085
2022-04-04,Unknown,0,1,0,1
2022-04-04,Total,89760,627504,386,717650
2022-04-05,0 to 9,12997,78959,1,91957
2022-04-05,10 to 19,14416,124571,0,138987
2022-04-05,20 to 29,13610,133481,1,147092
2022-04-05,30 to 39,15432,115655,8,131095
2022-04-05,40 to 49,13061,88109,11,101181
2022-04-05,50 to 59,8613,57054,24,65691
2022-04-05,60 to 69,4988,29503,54,34545
2022-04-05,70 to 79,2200,11416,88,13704
2022-04-05,80 to 89,869,3917,121,4907
2022-04-05,90+,217,812,96,1125
2022-04-05,Unknown,0,1,0,1
2022-04-05,Total,86403,643478,404,730285
2022-04-06,0 to 9,12543,81033,1,93577
2022-04-06,10 to 19,13684,127040,0,140724
2022-04-06,20 to 29,13007,136110,1,149118
2022-04-06,30 to 39,14770,118478,10,133258
2022-04-06,40 to 49,12466,90489,11,102966
2022-04-06,50 to 59,8296,58535,27,66858
2022-04-06,60 to 69,4887,30368,55,35310
2022-04-06,70 to 79,2107,11775,93,13975
2022-04-06,80 to 89,828,4084,127,5039
2022-04-06,90+,211,849,101,1161
2022-04-06,Unknown,0,1,0,1
2022-04-06,Total,82799,658762,426,741987
2022-04-08,0 to 9,11394,84880,1,96275
2022-04-08,10 to 19,12394,131201,1,143596
2022-04-08,20 to 29,11970,140017,1,151988
2022-04-08,30 to 39,13598,122992,10,136600
2022-04-08,40 to 49,11444,94308,13,105765
2022-04-08,50 to 59,7584,61050,27,68661
2022-04-08,60 to 69,4709,31764,58,36531
2022-04-08,70 to 79,2070,12447,96,14613
2022-04-08,80 to 89,790,4352,133,5275
2022-04-08,90+,217,913,105,1235
2022-04-08,Unknown,0,1,0,1
2022-04-08,Total,76170,683925,445,760540
2022-04-09,0 to 9,11095,86269,1,97365
2022-04-09,10 to 19,11959,132737,1,144697
2022-04-09,20 to 29,11639,141310,1,152950
2022-04-09,30 to 39,13351,124485,10,137846
2022-04-09,40 to 49,11079,95661,14,106754
2022-04-09,50 to 59,7337,61950,28,69315
2022-04-09,60 to 69,4594,32297,61,36952
2022-04-09,70 to 79,2040,12680,98,14818
2022-04-09,80 to 89,775,4431,135,5341
2022-04-09,90+,218,930,108,1256
2022-04-09,Unknown,0,1,0,1
2022-04-09,Total,74087,692751,457,767295
2022-04-10,0 to 9,10627,87849,1,98477
2022-04-10,10 to 19,11527,134460,1,145988
2022-04-10,20 to 29,11213,142899,1,154113
2022-04-10,30 to 39,12982,126302,10,139294
2022-04-10,40 to 49,10634,97248,14,107896
2022-04-10,50 to 59,7072,62986,28,70086
2022-04-10,60 to 69,4424,32899,63,37386
2022-04-10,70 to 79,2016,12892,101,15009
2022-04-10,80 to 89,762,4504,139,5405
2022-04-10,90+,209,953,111,1273
2022-04-10,Unknown,0,1,0,1
2022-04-10,Total,71466,702993,469,774928
2022-04-11,0 to 9,10052,90095,1,100148
2022-04-11,10 to 19,10862,136933,1,147796
2022-04-11,20 to 29,10859,145033,1,155893
2022-04-11,30 to 39,12410,128826,10,141246
2022-04-11,40 to 49,10183,99295,14,109492
2022-04-11,50 to 59,6780,64414,30,71224
2022-04-11,60 to 69,4286,33723,63,38072
2022-04-11,70 to 79,1994,13251,104,15349
2022-04-11,80 to 89,762,4626,144,5532
2022-04-11,90+,212,978,115,1305
2022-04-11,Unknown,0,1,0,1
2022-04-11,Total,68400,717175,483,786058
2022-04-12,0 to 9,9446,92013,1,101460
2022-04-12,10 to 19,10328,138971,1,149300
2022-04-12,20 to 29,10400,147101,1,157502
2022-04-12,30 to 39,11910,131077,10,142997
2022-04-12,40 to 49,9689,101152,16,110857
2022-04-12,50 to 59,6498,65654,32,72184
2022-04-12,60 to 69,4162,34457,65,38684
2022-04-12,70 to 79,1919,13597,107,15623
2022-04-12,80 to 89,745,4765,148,5658
2022-04-12,90+,212,1012,116,1340
2022-04-12,Unknown,0,1,0,1
2022-04-12,Total,65309,729800,497,795606
2022-04-13,0 to 9,9097,93575,1,102673
2022-04-13,10 to 19,9985,140723,1,150709
2022-04-13,20 to 29,10072,149113,1,159186
2022-04-13,30 to 39,11568,133245,10,144823
2022-04-13,40 to 49,9323,102948,16,112287
2022-04-13,50 to 59,6301,66828,32,73161
2022-04-13,60 to 69,3992,35244,67,39303
2022-04-13,70 to 79,1936,13871,113,15920
2022-04-13,80 to 89,755,4890,153,5798
2022-04-13,90+,211,1048,120,1379
2022-04-13,Unknown,0,1,0,1
2022-04-13,Total,63240,741486,514,805240
2022-04-14,0 to 9,8664,94943,1,103608
2022-04-14,10 to 19,9515,142258,1,151774
2022-04-14,20 to 29,9697,150724,1,160422
2022-04-14,30 to 39,11143,135071,10,146224
2022-04-14,40 to 49,9103,104445,17,113565
2022-04-14,50 to 59,6223,67810,35,74068
2022-04-14,60 to 69,3865,35912,67,39844
2022-04-14,70 to 79,1911,14192,122,16225
2022-04-14,80 to 89,757,5010,158,5925
2022-04-14,90+,201,1091,122,1414
2022-04-14,Unknown,0,1,0,1
2022-04-14,Total,61079,751457,534,813070
2022-04-15,0 to 9,8132,96273,1,104406
2022-04-15,10 to 19,9038,143595,2,152635
2022-04-15,20 to 29,9340,151986,1,161327
2022-04-15,30 to 39,10694,136588,10,147292
2022-04-15,40 to 49,8679,105748,17,114444
2022-04-15,50 to 59,6004,68627,35,74666
2022-04-15,60 to 69,3720,36467,67,40254
2022-04-15,70 to 79,1796,14502,124,16422
2022-04-15,80 to 89,714,5122,161,5997
2022-04-15,90+,197,1116,125,1438
2022-04-15,Unknown,0,1,0,1
2022-04-15,Total,58314,760025,543,818882
2022-04-16,0 to 9,7854,97364,1,105219
2022-04-16,10 to 19,8812,144699,2,153513
2022-04-16,20 to 29,9296,152949,2,162247
2022-04-16,30 to 39,10478,137836,10,148324
2022-04-16,40 to 49,8602,106738,17,115357
2022-04-16,50 to 59,5994,69282,35,75311
2022-04-16,60 to 69,3732,36887,67,40686
2022-04-16,70 to 79,1808,14703,126,16637
2022-04-16,80 to 89,749,5185,168,6102
2022-04-16,90+,207,1137,126,1470
2022-04-16,Unknown,0,1,0,1
2022-04-16,Total,57532,766781,554,824867
2022-04-17,0 to 9,7542,98476,1,106019
2022-04-17,10 to 19,8473,145990,2,154465
2022-04-17,20 to 29,9164,154117,2,163283
2022-04-17,30 to 39,10201,139284,10,149495
2022-04-17,40 to 49,8387,107879,17,116283
2022-04-17,50 to 59,5881,70052,35,75968
2022-04-17,60 to 69,3723,37322,67,41112
2022-04-17,70 to 79,1830,14890,129,16849
2022-04-17,80 to 89,765,5246,174,6185
2022-04-17,90+,211,1151,127,1489
2022-04-17,Unknown,0,1,0,1
2022-04-17,Total,56177,774408,564,831149
2022-04-18,0 to 9,6769,100148,1,106918
2022-04-18,10 to 19,7880,147793,2,155675
2022-04-18,20 to 29,8931,155898,2,164831
2022-04-18,30 to 39,9781,141231,10,151022
2022-04-18,40 to 49,8065,109472,17,117554
2022-04-18,50 to 59,5632,71189,35,76856
2022-04-18,60 to 69,3628,38004,67,41699
2022-04-18,70 to 79,1770,15227,130,17127
2022-04-18,80 to 89,706,5368,178,6252
2022-04-18,90+,210,1182,128,1520
2022-04-18,Unknown,0,1,0,1
2022-04-18,Total,53372,785513,570,839455
2022-04-19,0 to 9,6689,101459,1,108149
2022-04-19,10 to 19,7884,149292,2,157178
2022-04-19,20 to 29,9374,157500,2,166876
2022-04-19,30 to 39,10180,142981,10,153171
2022-04-19,40 to 49,8322,110839,18,119179
2022-04-19,50 to 59,5961,72144,37,78142
2022-04-19,60 to 69,3852,38611,71,42534
2022-04-19,70 to 79,1892,15495,130,17517
2022-04-19,80 to 89,749,5491,180,6420
2022-04-19,90+,235,1214,131,1580
2022-04-19,Unknown,0,1,0,1
2022-04-19,Total,55138,795027,582,850747
2022-04-20,0 to 9,6493,102673,1,109167
2022-04-20,10 to 19,7825,150705,2,158532
2022-04-20,20 to 29,9691,159189,2,168882
2022-04-20,30 to 39,10247,144810,10,155067
2022-04-20,40 to 49,8436,112268,18,120722
2022-04-20,50 to 59,6158,73120,39,79317
2022-04-20,60 to 69,4009,39231,73,43313
2022-04-20,70 to 79,1966,15790,132,17888
2022-04-20,80 to 89,775,5621,188,6584
2022-04-20,90+,260,1250,135,1645
2022-04-20,Unknown,0,1,0,1
2022-04-20,Total,55860,804658,600,861118
2022-04-21,0 to 9,6535,103607,1,110143
2022-04-21,10 to 19,8009,151773,3,159785
2022-04-21,20 to 29,10033,160435,2,170470
2022-04-21,30 to 39,10526,146214,10,156750
2022-04-21,40 to 49,8642,113548,18,122208
2022-04-21,50 to 59,6379,74026,39,80444
2022-04-21,60 to 69,4235,39769,73,44077
2022-04-21,70 to 79,2052,16089,135,18276
2022-04-21,80 to 89,802,5743,193,6738
2022-04-21,90+,278,1284,136,1698
